,comment_id,user_id,platform,date_time,likes_count,comment_raw
18,2481702515306198095,4028120102,instagram,2021-01-08 07:26:55,2432,"These recent events are just a reminder of how senseless racism is in our nation. One can only extrapolate the outcomes for people of a different kindred. 

How is what you’re witnessing moving your heart? What are you going to do about it?

#HatedInAHoodie X @RacismIsLame"
471,2486531771729841659,8603230290,instagram,2021-01-14 23:21:47,85,Trump has been impeached a second time so the senate will vote moving forward
679,2489359159854901418,44955229694,instagram,2021-01-18 20:59:18,2,Gandhi quote
782,2493153046588846267,44928907276,instagram,2021-01-24 02:37:05,28,News today summary every topic larry king
1184,2505615380920420667,259090671,instagram,2021-02-10 07:17:31,4417,Top stories. Some returned travellers who quarantined at Melbourne Airport Holiday Inn facing another 14 days of isolation. Photo shows the Melbourne Airport Holiday Inn.
1325,2506215796907085585,44212179522,instagram,2021-02-11 03:10:26,12,"Male standing in front of a wall wearing a black short sleeved, crew neck, t-shirt. On it is a white outline peach with donald trumps face in it."
0,17966998288364376,33597388,instagram,2021-02-13 22:54:15,0,Yeah all the black people attacking and murdering Hasidic Jews needs to stop. Blacks can  be racists too. In fact growing up Jewish in Brooklyn the only racism I experienced was by black people.
1,17885746028017595,2299592476,instagram,2021-02-13 09:13:03,0,Are you referring to what is happening on the NYC subway?
2,17842696493521935,1651100777,instagram,2021-01-22 12:51:37,0,🙌
3,18138103390087013,4147796433,instagram,2021-01-21 06:42:10,1,@debbyanmcfarlane
4,17914123522572768,41693285374,instagram,2021-01-19 20:39:03,0,"I have a proposal for you, talk me to privately 📥📥📥"
5,18144843493124848,9032964835,instagram,2021-01-16 12:20:32,0,Is it?
6,17871945506148143,2061711886,instagram,2021-01-12 11:37:17,0,The hooodie 🔥🔥🔥🔥🔥😍😍😍😍😍😍😍
7,17857945781402408,4028120102,instagram,2021-01-09 17:27:27,0,#tuckfrump
8,17874330830149141,30988121,instagram,2021-01-09 15:35:12,0,💕🙌
9,17884671289904140,394056490,instagram,2021-01-09 12:43:53,0,Love this hoodie 😍
10,17856299921459116,12982488836,instagram,2021-01-09 10:31:02,1,❤️🙏🙏
11,17904102124655856,497787366,instagram,2021-01-09 08:10:35,0,I will stand up and speak up! Racism must end. We must learn to love each other.💙💙💙💙
12,17916850288543279,288186439,instagram,2021-01-09 06:43:44,0,"It gives me anger, sadness and frustration but I'll never give up! I do what I can do with the tiny power I have... I believe in repetition. We need to repeat information over and over again to brainwash people's brains the other way around. Schools, parents, media can do a lot with this narrative. My daughter and her friends is even better then me! I think something is happening with the new generations! 🙏🏻❤"
13,17891360419874496,288186439,instagram,2021-01-09 06:39:29,0,I need that hoodie! ❤️
14,18188174896010755,370767124,instagram,2021-01-09 06:02:41,0,ANY color does
15,17847124100508409,2214674667,instagram,2021-01-09 02:48:36,1,✊🏽
16,17881915091013317,2214674667,instagram,2021-01-09 02:48:30,1,🖤
17,17891155906867353,2214674667,instagram,2021-01-09 02:48:14,1,FACTS are FACTS 💯
18,17867650004305464,325137840,instagram,2021-01-09 02:11:26,0,🙏🏾🙏🏾🙏🏾🙏🏾🙌🏾🙌🏾🙌🏾🤞🏾🤞🏾🤞🏾🤞🏾💔💔💔 it's Disheartening and worrisome when you have to worry about your children especially a son. #WETHEPEOPLE 🤔🤔🤔🤔🤔 ✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾✊🏾
19,17878264700098898,15140665,instagram,2021-01-08 23:21:23,0,💯
20,18101540875204305,8014625963,instagram,2021-01-08 23:04:56,0,"I'm lost for words never ever in my lifetime ever imagined I would see this kinda behavior in the United states of America, but I'll give kudos to some movie directors they warned us"
21,17869606202237282,1036871,instagram,2021-01-08 21:28:07,0,❤️❤️❤️
22,18142728511188745,235401110,instagram,2021-01-08 21:06:54,0,Yes
23,17932222063453604,3179845557,instagram,2021-01-08 20:56:09,0,✊🏻✊🏽✊🏿
24,18169278889073326,3027942087,instagram,2021-01-08 17:19:33,0,"I’m in Australia, but have family in Chanhassen (I don’t know what it’s like, there...). The news footage and disruptions look terrifying. I cry, almost every time I see suffering, and injustice or lack of it. I’m still confused about how easily the trumpets got into the big house.  What will I do?  Encourage critical reading and thinking.  Too many people don’t read or think enough. It’s heartbreaking that knee jerk reactions based on false snippets of ‘information’ are considered valid, instead of real life fact and consequence.  Be the light!!! 🌟"
25,18186020854025451,3027942087,instagram,2021-01-08 17:15:08,0,Damn right!!! 🌟
26,17878332149084696,1496426637,instagram,2021-01-08 15:15:49,0,Anyone wants followers or likes for your Instagram page? DM me📲📲
27,18140868634191689,31285269136,instagram,2021-01-08 12:58:52,0,"Preach, brother."
28,17868248966286939,31285269136,instagram,2021-01-08 12:58:35,0,🙌🙌🙌
29,17874992927130151,2027435827,instagram,2021-01-08 12:58:33,1,Persist unwaveringly.
30,17872891358176645,273246968,instagram,2021-01-08 12:23:36,0,Definitely need this hoodie
